广东酒店,#genre#

--- 端口 8086 ---


--- 端口 202 ---


--- 端口 8081 ---


--- 端口 8888 ---

广东组播,#genre#
广东珠江,http://14.118.74.55:10001/rtp/239.77.0.1:5146
广东珠江,http://14.118.74.55:10001/rtp/239.77.1.94:5146
广东珠江,http://14.118.74.55:10001/rtp/239.77.0.114:5146
广东新闻,http://14.118.74.55:10001/rtp/239.77.0.173:5146
广东民生,http://14.118.74.55:10001/rtp/239.77.0.225:5146
广东体育,http://14.118.74.55:10001/rtp/239.77.0.112:5146
广东体育,http://14.118.74.55:10001/rtp/239.77.0.168:5146
广东体育,http://14.118.74.55:10001/rtp/239.77.1.97:5146
广东影视,http://14.118.74.55:10001/rtp/239.77.0.217:5146
大湾区卫视,http://14.118.74.55:10001/rtp/239.77.0.215:5146
大湾区卫视,http://14.118.74.55:10001/rtp/239.77.1.12:5146
广东卫视,http://14.118.74.55:10001/rtp/239.77.0.84:5146
广东卫视,http://14.118.74.55:10001/rtp/239.77.0.166:5146
广东卫视,http://14.118.74.55:10001/rtp/239.77.1.19:5146
广东卫视,http://14.118.74.55:10001/rtp/239.77.1.152:5146
广东少儿,http://14.118.74.55:10001/rtp/239.77.0.250:5146

广东珠江,http://183.36.240.113:9901/rtp/239.77.0.1:5146
广东珠江,http://183.36.240.113:9901/rtp/239.77.1.94:5146
广东珠江,http://183.36.240.113:9901/rtp/239.77.0.114:5146
广东新闻,http://183.36.240.113:9901/rtp/239.77.0.173:5146
广东民生,http://183.36.240.113:9901/rtp/239.77.0.225:5146
广东体育,http://183.36.240.113:9901/rtp/239.77.0.112:5146
广东体育,http://183.36.240.113:9901/rtp/239.77.0.168:5146
广东体育,http://183.36.240.113:9901/rtp/239.77.1.97:5146
广东影视,http://183.36.240.113:9901/rtp/239.77.0.217:5146
大湾区卫视,http://183.36.240.113:9901/rtp/239.77.0.215:5146
大湾区卫视,http://183.36.240.113:9901/rtp/239.77.1.12:5146
广东卫视,http://183.36.240.113:9901/rtp/239.77.0.84:5146
广东卫视,http://183.36.240.113:9901/rtp/239.77.0.166:5146
广东卫视,http://183.36.240.113:9901/rtp/239.77.1.19:5146
广东卫视,http://183.36.240.113:9901/rtp/239.77.1.152:5146
广东少儿,http://183.36.240.113:9901/rtp/239.77.0.250:5146

广东珠江,http://59.35.185.47:8188/rtp/239.77.0.1:5146
广东珠江,http://59.35.185.47:8188/rtp/239.77.1.94:5146
广东珠江,http://59.35.185.47:8188/rtp/239.77.0.114:5146
广东新闻,http://59.35.185.47:8188/rtp/239.77.0.173:5146
广东民生,http://59.35.185.47:8188/rtp/239.77.0.225:5146
广东体育,http://59.35.185.47:8188/rtp/239.77.0.112:5146
